experiment,n_attractions,profile,suite,setup_name,mode,run_count,ok_count,wall_time_ms_mean,wall_time_ms_std,expanded_nodes_mean,objective_cost_median,peak_memory_mb_mean,optimality_gap_mean,stay_utilization_mean
astar_greedy,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.0299009998343535,,1.0,0.0,0.013106346130371,,1.0
astar_greedy,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,0.8339545833374965,0.29423183388122076,9.333333333333334,10341.618427141064,0.028381029764811123,0.0,1.0
astar_greedy,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_greedy,6,relaxed,real_reference,real_reference,real,3,3,1321.813170333371,361.3450681207708,7.666666666666667,2328.345999999432,3.0188239415486655,,1.0000000000000002
astar_greedy,6,relaxed,synthetic_main,network_stress,fixture,12,12,0.8414072500121014,0.28161873679154875,9.333333333333334,10341.618427141064,0.028381029764811123,,1.0
astar_greedy,6,tight,bf_reference_small_n,window_stress,fixture,12,12,1.033848583309312,0.14774389654088607,19.75,15363.759784615391,0.0266052881876627,0.0,0.9999999999999999
astar_greedy,6,tight,synthetic_main,network_stress,fixture,12,12,1.0408010834150143,0.1693920251336368,19.666666666666668,15363.759784615107,0.026547431945800715,,0.9999999999999999
astar_greedy,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,1.281057916685313,0.4163603009625283,11.666666666666666,11721.597768790165,0.03502432505289705,0.0004087263669566071,1.0
astar_greedy,7,tight,bf_reference_small_n,window_stress,fixture,12,12,1.793748000030367,0.4796755739737188,30.5,16156.375992900415,0.03208319346110019,0.0,1.0
astar_greedy,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_greedy,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,2.140925166713714,1.2135252105897947,16.583333333333332,9708.46907860398,0.0483639240264892,0.0,1.0
astar_greedy,8,tight,bf_reference_small_n,window_stress,fixture,12,12,4.683915833387194,0.9275114861633736,82.5,20943.085732003346,0.049066702524820933,0.0,1.0
astar_greedy,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,4.862120083354664,3.770892732410723,35.416666666666664,11755.43454085042,0.09185846646626784,0.0,1.0
astar_greedy,9,relaxed,real_reference,real_reference,real,3,3,2487.410910666464,167.20537969612155,165.33333333333334,2875.747999998863,1.663292566935221,,1.0000000000000002
astar_greedy,9,relaxed,synthetic_main,network_stress,fixture,12,12,5.262987083369808,4.1200656609782165,35.416666666666664,11755.43454085042,0.09185846646626784,,1.0
astar_greedy,9,tight,bf_reference_small_n,window_stress,fixture,12,12,9.397749083367065,1.8304124517264748,158.41666666666666,24113.208737857203,0.07553418477376297,0.0,1.0
astar_greedy,9,tight,synthetic_main,network_stress,fixture,12,12,9.59139725004358,1.940123283526379,158.41666666666666,24113.208737857203,0.07553609212239579,,1.0
astar_greedy,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,6.970386749912905,3.140994699303025,40.5,13877.613746174267,0.11984626452128089,0.0,1.0000000000000002
astar_greedy,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_greedy,10,tight,bf_reference_small_n,window_stress,fixture,12,12,20.61151416660323,6.59986243618523,285.8333333333333,25599.82861260441,0.1287453969319661,0.0,1.0
astar_greedy,12,relaxed,real_reference,real_reference,real,3,3,4457.926774333525,374.88371611726416,1426.0,4320.1880000005685,6.1530202229817705,,1.0
astar_greedy,12,relaxed,synthetic_main,network_stress,fixture,12,12,27.53030858339874,18.010248720417643,98.33333333333333,14463.829001203838,0.3490760326385498,,1.0
astar_greedy,12,tight,synthetic_main,network_stress,fixture,12,12,101.61253708326967,28.838076922719956,1166.5,34146.76443247138,0.3971257209777832,,1.0000000000000002
astar_greedy,15,relaxed,synthetic_main,network_stress,fixture,12,0,0.0,0.0,,,,,
astar_greedy,15,tight,synthetic_main,network_stress,fixture,12,12,1276.7763316666485,266.69530106367824,9457.083333333334,41139.76818300109,2.924788475036621,,1.0
astar_intervals,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.0314009998874098,,1.0,0.0,0.013106346130371,,1.0
astar_intervals,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,1.5602140833076799,0.7634857134257862,9.333333333333334,10341.618427141064,0.05018266042073561,0.0,1.0
astar_intervals,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_intervals,6,relaxed,heuristic_ablation,baseline,fixture,12,12,1.408603499991538,0.5737065014316661,9.333333333333334,10341.618427141064,0.05018266042073561,,1.0
astar_intervals,6,relaxed,real_reference,real_reference,real,3,3,1119.6993423333577,90.55132340753138,7.666666666666667,2328.345999999432,1.3348242441813152,,1.0000000000000002
astar_intervals,6,relaxed,synthetic_main,network_stress,fixture,12,12,1.4221041667497047,0.5959530158127223,9.333333333333334,10341.618427141064,0.05018266042073561,,1.0
astar_intervals,6,tight,bf_reference_small_n,window_stress,fixture,12,12,1.0653845000282065,0.16824338769029398,19.75,15363.759784615391,0.0266052881876627,0.0,0.9999999999999999
astar_intervals,6,tight,heuristic_ablation,baseline,fixture,12,12,1.063668333320796,0.17917103193306672,19.666666666666668,15363.759784615107,0.026547431945800715,,0.9999999999999999
astar_intervals,6,tight,synthetic_main,network_stress,fixture,12,12,1.0635521667078744,0.1698498140122363,19.666666666666668,15363.759784615107,0.026547431945800715,,0.9999999999999999
astar_intervals,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,2.1730827500429464,0.7386401537927577,11.666666666666666,11721.597768790165,0.06872590382893876,0.0004087263669566071,1.0
astar_intervals,7,tight,bf_reference_small_n,window_stress,fixture,12,12,1.7929314166167387,0.5341494237778577,30.5,16156.375992900415,0.03208319346110019,0.0,1.0
astar_intervals,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_intervals,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,3.5451582500248455,2.1962895015165227,16.583333333333332,9708.46907860398,0.10645238558451331,0.0,1.0
astar_intervals,8,tight,bf_reference_small_n,window_stress,fixture,12,12,4.761343750071016,0.9793621980050493,82.5,20943.085732003346,0.049066702524820933,0.0,1.0
astar_intervals,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,8.390235250089972,7.187673435285343,35.416666666666664,11755.43454085042,0.24306607246398926,0.0,1.0
astar_intervals,9,relaxed,heuristic_ablation,baseline,fixture,12,12,9.389424416629785,7.9678648179989215,35.416666666666664,11755.43454085042,0.24306607246398926,,1.0
astar_intervals,9,relaxed,real_reference,real_reference,real,3,3,2524.3160066668984,146.1150037101257,165.33333333333334,2875.747999998863,2.671110153198242,,1.0000000000000002
astar_intervals,9,relaxed,synthetic_main,network_stress,fixture,12,12,9.414533416626606,7.831114629078494,35.416666666666664,11755.43454085042,0.24306607246398926,,1.0
astar_intervals,9,tight,bf_reference_small_n,window_stress,fixture,12,12,9.657374666630858,1.930468521702188,158.41666666666666,24113.208737857203,0.07553418477376297,0.0,1.0
astar_intervals,9,tight,heuristic_ablation,baseline,fixture,12,12,10.253144916646306,3.625803448848475,158.41666666666666,24113.208737857203,0.07553609212239579,,1.0
astar_intervals,9,tight,synthetic_main,network_stress,fixture,12,12,9.56506291667362,1.8960019493423532,158.41666666666666,24113.208737857203,0.07553609212239579,,1.0
astar_intervals,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,11.591493250004229,5.985374564759134,40.5,13877.613746174267,0.32523926099141437,0.0,1.0000000000000002
astar_intervals,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_intervals,10,tight,bf_reference_small_n,window_stress,fixture,12,12,21.550637166683373,5.677826431879148,285.8333333333333,25599.82861260441,0.1287453969319661,0.0,1.0
astar_intervals,12,relaxed,heuristic_ablation,baseline,fixture,12,12,47.36389025003973,34.287346619753684,98.33333333333333,14463.829001203838,1.0257230599721272,,1.0
astar_intervals,12,relaxed,real_reference,real_reference,real,3,3,4813.377240333466,702.9817306057962,1426.0,4320.1880000005685,21.431228637695312,,1.0
astar_intervals,12,relaxed,synthetic_main,network_stress,fixture,12,12,46.8015836666306,33.16499248838076,98.33333333333333,14463.829001203838,1.0257230599721272,,1.0
astar_intervals,12,tight,heuristic_ablation,baseline,fixture,12,12,113.94780041666763,37.855656797814156,1166.5,34146.76443247138,0.39712953567504883,,1.0000000000000002
astar_intervals,12,tight,synthetic_main,network_stress,fixture,12,12,106.53015974992286,32.77024035645963,1166.5,34146.76443247138,0.39712953567504883,,1.0000000000000002
astar_intervals,15,relaxed,synthetic_main,network_stress,fixture,12,0,0.0,0.0,,,,,
astar_intervals,15,tight,synthetic_main,network_stress,fixture,12,12,1321.7026067500608,265.09491435320206,9457.083333333334,41139.76818300109,2.924788475036621,,1.0
astar_intervals_no_heuristic,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.024400000256719,,1.0,0.0,0.012099266052246,,1.0
astar_intervals_no_heuristic,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_intervals_no_heuristic,6,relaxed,heuristic_ablation,baseline,fixture,12,12,4.086630249920138,1.8750462697699908,58.25,10341.618427141064,0.15681425730387366,,1.0
astar_intervals_no_heuristic,6,tight,heuristic_ablation,baseline,fixture,12,12,0.7626839166429514,0.14155818704285966,25.083333333333332,15363.759784615107,0.023795127868652274,,0.9999999999999999
astar_intervals_no_heuristic,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_intervals_no_heuristic,9,relaxed,heuristic_ablation,baseline,fixture,12,12,306.8327910832143,237.06854872057434,2228.0,11755.43454085042,9.647154569625854,,1.0
astar_intervals_no_heuristic,9,tight,heuristic_ablation,baseline,fixture,12,12,6.21734591660091,4.251052673079324,179.58333333333334,24113.208737857203,0.07007964452107744,,1.0
astar_intervals_no_heuristic,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
astar_intervals_no_heuristic,12,relaxed,heuristic_ablation,baseline,fixture,12,11,15290.784110583294,8379.082033191495,78260.90909090909,14250.84488035148,514.7503571076827,,1.0
astar_intervals_no_heuristic,12,tight,heuristic_ablation,baseline,fixture,12,12,42.432208833361074,16.21147505329999,1216.0833333333333,34146.76443247138,0.3267451922098795,,1.0000000000000002
bruteforce_greedy,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.0215999998545157,,1.0,0.0,0.006011962890625,,1.0
bruteforce_greedy,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,2.9876059166629907,1.1317778394252194,154.75,10341.618427141064,0.036609013875325495,,1.0
bruteforce_greedy,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_greedy,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0.7003645000243827,0.07097546422789042,25.833333333333332,15363.759784615391,0.01811408996582029,,0.9999999999999999
bruteforce_greedy,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,16.80848566665342,10.712635656129004,849.1666666666666,11721.597768790165,0.14237745602925614,,1.0
bruteforce_greedy,7,tight,bf_reference_small_n,window_stress,fixture,12,12,1.2482535000041632,0.27859748722603334,46.5,16156.375992900415,0.022385915120442686,,1.0
bruteforce_greedy,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_greedy,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,115.60206941665759,54.920063345939326,6180.666666666667,9708.46907860398,0.9528923034667969,,1.0
bruteforce_greedy,8,tight,bf_reference_small_n,window_stress,fixture,12,12,2.5317356666694955,0.3949162719888435,96.83333333333333,20943.085732003346,0.03217951456705727,,1.0
bruteforce_greedy,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,804.8495212500105,475.83071085468225,37916.166666666664,11755.43454085042,6.677834192911784,,1.0
bruteforce_greedy,9,tight,bf_reference_small_n,window_stress,fixture,12,12,4.8661096667122665,1.0698598626912854,179.75,24113.208737857203,0.05000543594360347,,1.0
bruteforce_greedy,10,relaxed,bf_reference_small_n,window_stress,fixture,12,12,4894.560365083332,3011.0951619937723,208794.5,13877.613746174267,37.087252616882324,,1.0000000000000002
bruteforce_greedy,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_greedy,10,tight,bf_reference_small_n,window_stress,fixture,12,12,9.810032250015865,1.7502159458624906,347.0833333333333,25599.82861260441,0.08592955271402991,,1.0
bruteforce_intervals,1,relaxed,handpicked_validation,infeasible_sanity,fixture,1,1,0.0219000003198743,,1.0,0.0,0.006011962890625,,1.0
bruteforce_intervals,6,relaxed,bf_reference_small_n,window_stress,fixture,12,12,53.2788190833647,28.549216345130034,2042.0,10341.618427141064,0.33426610628763836,,1.0
bruteforce_intervals,6,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_intervals,6,tight,bf_reference_small_n,window_stress,fixture,12,12,0.771324583297428,0.12898924107181903,25.833333333333332,15363.759784615391,0.0181159973144531,,0.9999999999999999
bruteforce_intervals,7,relaxed,bf_reference_small_n,window_stress,fixture,12,12,399.65978741668096,248.27793417375798,14775.833333333334,11721.597768790165,2.286344528198242,,1.0
bruteforce_intervals,7,tight,bf_reference_small_n,window_stress,fixture,12,12,1.31289741659657,0.26917801156733906,46.5,16156.375992900415,0.022391637166341127,,1.0
bruteforce_intervals,8,impossible,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_intervals,8,relaxed,bf_reference_small_n,window_stress,fixture,12,12,4033.2707286666696,2268.1999009996807,136602.83333333334,9708.46907860398,19.69170570373535,,1.0
bruteforce_intervals,8,tight,bf_reference_small_n,window_stress,fixture,12,12,2.648615333365948,0.36297406814523414,96.83333333333333,20943.085732003346,0.0321833292643229,,1.0
bruteforce_intervals,9,relaxed,bf_reference_small_n,window_stress,fixture,12,12,30153.916321166587,17907.418982196446,981309.8333333334,11755.43454085042,163.81326389312744,,1.0
bruteforce_intervals,9,tight,bf_reference_small_n,window_stress,fixture,12,12,4.949145333360623,1.0963267294573487,179.75,24113.208737857203,0.05001242955525711,,1.0
bruteforce_intervals,10,relaxed,bf_reference_small_n,window_stress,fixture,12,1,1202.0395445000154,4163.987127561954,417969.0,15270.079602876203,76.0479736328125,,1.0000000000000002
bruteforce_intervals,10,relaxed,handpicked_validation,infeasible_sanity,fixture,1,0,0.0,,,,,,
bruteforce_intervals,10,tight,bf_reference_small_n,window_stress,fixture,12,12,10.309865583167266,2.794088129656866,347.0833333333333,25599.82861260441,0.08593336741129554,,1.0
